Unnamed: 0,Crime Type,Year,Total_Crimes,Data_Type
0.0,ASSAULT,2014,16515.0,Historical
1.0,ASSAULT,2015,17858.0,Historical
2.0,ASSAULT,2016,18608.0,Historical
3.0,ASSAULT,2017,18906.0,Historical
4.0,ASSAULT,2018,19565.0,Historical
5.0,ASSAULT,2019,20581.0,Historical
6.0,ASSAULT,2020,17961.0,Historical
7.0,ASSAULT,2021,19000.0,Historical
8.0,ASSAULT,2022,20997.0,Historical
9.0,ASSAULT,2023,24266.0,Historical
10.0,ASSAULT,2024,25445.0,Historical
11.0,AUTOTHEFT,2014,3573.0,Historical
12.0,AUTOTHEFT,2015,3261.0,Historical
13.0,AUTOTHEFT,2016,3311.0,Historical
14.0,AUTOTHEFT,2017,3565.0,Historical
15.0,AUTOTHEFT,2018,4747.0,Historical
16.0,AUTOTHEFT,2019,5280.0,Historical
17.0,AUTOTHEFT,2020,5740.0,Historical
18.0,AUTOTHEFT,2021,6598.0,Historical
19.0,AUTOTHEFT,2022,9746.0,Historical
20.0,AUTOTHEFT,2023,12190.0,Historical
21.0,AUTOTHEFT,2024,9256.0,Historical
22.0,BIKETHEFT,2014,3021.0,Historical
23.0,BIKETHEFT,2015,3292.0,Historical
24.0,BIKETHEFT,2016,3797.0,Historical
25.0,BIKETHEFT,2017,3853.0,Historical
26.0,BIKETHEFT,2018,3967.0,Historical
27.0,BIKETHEFT,2019,3702.0,Historical
28.0,BIKETHEFT,2020,3915.0,Historical
29.0,BIKETHEFT,2021,3155.0,Historical
30.0,BIKETHEFT,2022,2940.0,Historical
31.0,BIKETHEFT,2023,3013.0,Historical
32.0,BIKETHEFT,2024,2709.0,Historical
33.0,BREAKENTER,2014,7184.0,Historical
34.0,BREAKENTER,2015,6911.0,Historical
35.0,BREAKENTER,2016,6402.0,Historical
36.0,BREAKENTER,2017,6883.0,Historical
37.0,BREAKENTER,2018,7565.0,Historical
38.0,BREAKENTER,2019,8438.0,Historical
39.0,BREAKENTER,2020,6914.0,Historical
40.0,BREAKENTER,2021,5670.0,Historical
41.0,BREAKENTER,2022,6041.0,Historical
42.0,BREAKENTER,2023,7632.0,Historical
43.0,BREAKENTER,2024,6842.0,Historical
44.0,HOMICIDE,2014,58.0,Historical
45.0,HOMICIDE,2015,59.0,Historical
46.0,HOMICIDE,2016,75.0,Historical
47.0,HOMICIDE,2017,65.0,Historical
48.0,HOMICIDE,2018,98.0,Historical
49.0,HOMICIDE,2019,79.0,Historical
50.0,HOMICIDE,2020,71.0,Historical
51.0,HOMICIDE,2021,84.0,Historical
52.0,HOMICIDE,2022,71.0,Historical
53.0,HOMICIDE,2023,72.0,Historical
54.0,HOMICIDE,2024,85.0,Historical
55.0,ROBBERY,2014,3665.0,Historical
56.0,ROBBERY,2015,3467.0,Historical
57.0,ROBBERY,2016,3648.0,Historical
58.0,ROBBERY,2017,4004.0,Historical
59.0,ROBBERY,2018,3621.0,Historical
60.0,ROBBERY,2019,3505.0,Historical
61.0,ROBBERY,2020,2769.0,Historical
62.0,ROBBERY,2021,2238.0,Historical
63.0,ROBBERY,2022,2805.0,Historical
64.0,ROBBERY,2023,3110.0,Historical
65.0,ROBBERY,2024,3156.0,Historical
66.0,SHOOTING,2014,177.0,Historical
67.0,SHOOTING,2015,288.0,Historical
68.0,SHOOTING,2016,407.0,Historical
69.0,SHOOTING,2017,392.0,Historical
70.0,SHOOTING,2018,427.0,Historical
71.0,SHOOTING,2019,492.0,Historical
72.0,SHOOTING,2020,461.0,Historical
73.0,SHOOTING,2021,408.0,Historical
74.0,SHOOTING,2022,380.0,Historical
75.0,SHOOTING,2023,344.0,Historical
76.0,SHOOTING,2024,460.0,Historical
77.0,THEFTFROMMV,2014,9600.0,Historical
78.0,THEFTFROMMV,2015,8639.0,Historical
79.0,THEFTFROMMV,2016,7676.0,Historical
80.0,THEFTFROMMV,2017,8265.0,Historical
81.0,THEFTFROMMV,2018,8996.0,Historical
82.0,THEFTFROMMV,2019,9792.0,Historical
83.0,THEFTFROMMV,2020,10191.0,Historical
84.0,THEFTFROMMV,2021,8114.0,Historical
85.0,THEFTFROMMV,2022,9308.0,Historical
86.0,THEFTFROMMV,2023,8677.0,Historical
87.0,THEFTFROMMV,2024,7644.0,Historical
88.0,THEFTOVER,2014,993.0,Historical
89.0,THEFTOVER,2015,1034.0,Historical
90.0,THEFTOVER,2016,1029.0,Historical
91.0,THEFTOVER,2017,1165.0,Historical
92.0,THEFTOVER,2018,1230.0,Historical
93.0,THEFTOVER,2019,1368.0,Historical
94.0,THEFTOVER,2020,1209.0,Historical
95.0,THEFTOVER,2021,1052.0,Historical
96.0,THEFTOVER,2022,1444.0,Historical
97.0,THEFTOVER,2023,1719.0,Historical
98.0,THEFTOVER,2024,1896.0,Historical
,ASSAULT,2025,24797.0,Forecast
,AUTOTHEFT,2025,6115.0,Forecast
,BIKETHEFT,2025,2840.0,Forecast
,BREAKENTER,2025,6929.0,Forecast
,HOMICIDE,2025,74.0,Forecast
,ROBBERY,2025,3214.0,Forecast
,SHOOTING,2025,514.0,Forecast
,THEFTFROMMV,2025,8809.0,Forecast
,THEFTOVER,2025,1820.0,Forecast
