Unnamed: 0,HOOD_ID,AREA_NAME,Year,Total_Crimes,Data_Type
0.0,1,West Humber-Clairville,2014,1248.0,Historical
1.0,1,West Humber-Clairville,2015,1114.0,Historical
2.0,1,West Humber-Clairville,2016,1131.0,Historical
3.0,1,West Humber-Clairville,2017,1172.0,Historical
4.0,1,West Humber-Clairville,2018,1545.0,Historical
5.0,1,West Humber-Clairville,2019,1391.0,Historical
6.0,1,West Humber-Clairville,2020,1282.0,Historical
7.0,1,West Humber-Clairville,2021,1341.0,Historical
8.0,1,West Humber-Clairville,2022,1788.0,Historical
9.0,1,West Humber-Clairville,2023,1863.0,Historical
10.0,1,West Humber-Clairville,2024,1569.0,Historical
11.0,2,Mount Olive-Silverstone-Jamestown,2014,533.0,Historical
12.0,2,Mount Olive-Silverstone-Jamestown,2015,521.0,Historical
13.0,2,Mount Olive-Silverstone-Jamestown,2016,582.0,Historical
14.0,2,Mount Olive-Silverstone-Jamestown,2017,519.0,Historical
15.0,2,Mount Olive-Silverstone-Jamestown,2018,527.0,Historical
16.0,2,Mount Olive-Silverstone-Jamestown,2019,598.0,Historical
17.0,2,Mount Olive-Silverstone-Jamestown,2020,477.0,Historical
18.0,2,Mount Olive-Silverstone-Jamestown,2021,456.0,Historical
19.0,2,Mount Olive-Silverstone-Jamestown,2022,578.0,Historical
20.0,2,Mount Olive-Silverstone-Jamestown,2023,686.0,Historical
21.0,2,Mount Olive-Silverstone-Jamestown,2024,619.0,Historical
22.0,3,Thistletown-Beaumond Heights,2014,145.0,Historical
23.0,3,Thistletown-Beaumond Heights,2015,186.0,Historical
24.0,3,Thistletown-Beaumond Heights,2016,145.0,Historical
25.0,3,Thistletown-Beaumond Heights,2017,146.0,Historical
26.0,3,Thistletown-Beaumond Heights,2018,164.0,Historical
27.0,3,Thistletown-Beaumond Heights,2019,196.0,Historical
28.0,3,Thistletown-Beaumond Heights,2020,180.0,Historical
29.0,3,Thistletown-Beaumond Heights,2021,163.0,Historical
30.0,3,Thistletown-Beaumond Heights,2022,169.0,Historical
31.0,3,Thistletown-Beaumond Heights,2023,223.0,Historical
32.0,3,Thistletown-Beaumond Heights,2024,192.0,Historical
33.0,4,Rexdale-Kipling,2014,154.0,Historical
34.0,4,Rexdale-Kipling,2015,124.0,Historical
35.0,4,Rexdale-Kipling,2016,145.0,Historical
36.0,4,Rexdale-Kipling,2017,182.0,Historical
37.0,4,Rexdale-Kipling,2018,220.0,Historical
38.0,4,Rexdale-Kipling,2019,204.0,Historical
39.0,4,Rexdale-Kipling,2020,170.0,Historical
40.0,4,Rexdale-Kipling,2021,189.0,Historical
41.0,4,Rexdale-Kipling,2022,216.0,Historical
42.0,4,Rexdale-Kipling,2023,245.0,Historical
43.0,4,Rexdale-Kipling,2024,222.0,Historical
44.0,5,Elms-Old Rexdale,2014,109.0,Historical
45.0,5,Elms-Old Rexdale,2015,130.0,Historical
46.0,5,Elms-Old Rexdale,2016,146.0,Historical
47.0,5,Elms-Old Rexdale,2017,141.0,Historical
48.0,5,Elms-Old Rexdale,2018,134.0,Historical
49.0,5,Elms-Old Rexdale,2019,164.0,Historical
50.0,5,Elms-Old Rexdale,2020,150.0,Historical
51.0,5,Elms-Old Rexdale,2021,165.0,Historical
