,AREA_NAME,HOOD_ID,Crime_Year,Value,Value Type,Crime Type,Year
0,Yonge-Bay Corridor,170,ASSAULT_2014,387.0,Count,ASSAULT,2014
1,Downtown Yonge East,168,ASSAULT_2014,342.0,Count,ASSAULT,2014
2,Moss Park,73,ASSAULT_2014,357.0,Count,ASSAULT,2014
3,Yonge-Bay Corridor,170,ASSAULT_2015,521.0,Count,ASSAULT,2015
4,Downtown Yonge East,168,ASSAULT_2015,392.0,Count,ASSAULT,2015
5,Moss Park,73,ASSAULT_2015,389.0,Count,ASSAULT,2015
6,Yonge-Bay Corridor,170,ASSAULT_2016,481.0,Count,ASSAULT,2016
7,Downtown Yonge East,168,ASSAULT_2016,346.0,Count,ASSAULT,2016
8,Moss Park,73,ASSAULT_2016,456.0,Count,ASSAULT,2016
9,Yonge-Bay Corridor,170,ASSAULT_2017,602.0,Count,ASSAULT,2017
10,Downtown Yonge East,168,ASSAULT_2017,473.0,Count,ASSAULT,2017
11,Moss Park,73,ASSAULT_2017,441.0,Count,ASSAULT,2017
12,Yonge-Bay Corridor,170,ASSAULT_2018,576.0,Count,ASSAULT,2018
13,Downtown Yonge East,168,ASSAULT_2018,498.0,Count,ASSAULT,2018
14,Moss Park,73,ASSAULT_2018,546.0,Count,ASSAULT,2018
15,Yonge-Bay Corridor,170,ASSAULT_2019,660.0,Count,ASSAULT,2019
16,Downtown Yonge East,168,ASSAULT_2019,614.0,Count,ASSAULT,2019
17,Moss Park,73,ASSAULT_2019,635.0,Count,ASSAULT,2019
18,Yonge-Bay Corridor,170,ASSAULT_2020,377.0,Count,ASSAULT,2020
19,Downtown Yonge East,168,ASSAULT_2020,506.0,Count,ASSAULT,2020
20,Moss Park,73,ASSAULT_2020,751.0,Count,ASSAULT,2020
21,Yonge-Bay Corridor,170,ASSAULT_2021,325.0,Count,ASSAULT,2021
22,Downtown Yonge East,168,ASSAULT_2021,594.0,Count,ASSAULT,2021
23,Moss Park,73,ASSAULT_2021,625.0,Count,ASSAULT,2021
24,Yonge-Bay Corridor,170,ASSAULT_2022,441.0,Count,ASSAULT,2022
25,Downtown Yonge East,168,ASSAULT_2022,539.0,Count,ASSAULT,2022
26,Moss Park,73,ASSAULT_2022,548.0,Count,ASSAULT,2022
27,Yonge-Bay Corridor,170,ASSAULT_2023,542.0,Count,ASSAULT,2023
28,Downtown Yonge East,168,ASSAULT_2023,654.0,Count,ASSAULT,2023
29,Moss Park,73,ASSAULT_2023,617.0,Count,ASSAULT,2023
30,Yonge-Bay Corridor,170,ASSAULT_2024,556.0,Count,ASSAULT,2024
31,Downtown Yonge East,168,ASSAULT_2024,620.0,Count,ASSAULT,2024
32,Moss Park,73,ASSAULT_2024,594.0,Count,ASSAULT,2024
33,Etobicoke City Centre,159,AUTOTHEFT_2014,64.0,Count,AUTO THEFT,2014
34,York University Heights,27,AUTOTHEFT_2014,109.0,Count,AUTO THEFT,2014
35,West Humber-Clairville,1,AUTOTHEFT_2014,309.0,Count,AUTO THEFT,2014
36,Etobicoke City Centre,159,AUTOTHEFT_2015,76.0,Count,AUTO THEFT,2015
37,York University Heights,27,AUTOTHEFT_2015,101.0,Count,AUTO THEFT,2015
38,West Humber-Clairville,1,AUTOTHEFT_2015,265.0,Count,AUTO THEFT,2015
39,Etobicoke City Centre,159,AUTOTHEFT_2016,103.0,Count,AUTO THEFT,2016
40,York University Heights,27,AUTOTHEFT_2016,109.0,Count,AUTO THEFT,2016
41,West Humber-Clairville,1,AUTOTHEFT_2016,322.0,Count,AUTO THEFT,2016
42,Etobicoke City Centre,159,AUTOTHEFT_2017,71.0,Count,AUTO THEFT,2017
43,York University Heights,27,AUTOTHEFT_2017,93.0,Count,AUTO THEFT,2017
44,West Humber-Clairville,1,AUTOTHEFT_2017,325.0,Count,AUTO THEFT,2017
45,Etobicoke City Centre,159,AUTOTHEFT_2018,122.0,Count,AUTO THEFT,2018
46,York University Heights,27,AUTOTHEFT_2018,90.0,Count,AUTO THEFT,2018
47,West Humber-Clairville,1,AUTOTHEFT_2018,503.0,Count,AUTO THEFT,2018
